Mon May  9 16:53:45 2022    Output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      140    0.001    0.000    0.014    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:671(draw)
1552/1290    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
     2364    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      576    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:826(set_weight)
      902    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2351(__init__)
        5    0.001    0.000    0.006    0.001 c:\Users\simon\Documents\Phd\SPH\wcsph_solver_numpy_numba\particle_system.py:107(add_particles)
      798    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
      650    0.001    0.000    0.014    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:162(update)
      168    0.001    0.000    0.009    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\lines.py:724(draw)
       56    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
1662/1604    0.001    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\contextlib.py:117(__exit__)
     1024    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\markers.py:237(_recache)
      922    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:1900(__init__)
      168    0.001    0.000    0.013    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:290(_get_layout)
